id,began_at,ended_at,device_id,began_at_gmtm,ended_at_gmtm,score,created_at,updated_at
3f86fc9b-b200-4885-9410-00a69a371e31,2022-04-21T18:44:40.588000+00:00,NaT,bc7debc6-5a2d-4822-97ba-6731f22f82dd,0,,,2022-04-21T18:44:41.309764+00:00,2022-04-21T18:44:41.309764+00:00
f9d8e4f3-1c70-4587-ace8-e007e9c78f2b,2022-04-21T18:57:35.019000+00:00,NaT,bd7f8ca0-06e3-44fd-8ef9-05b7e198c819,0,,,2022-04-21T18:57:35.751958+00:00,2022-04-21T18:57:35.751958+00:00
f9551a8a-d1a9-4477-af9a-6d9f6dcf3907,2022-04-22T06:51:50.967000+00:00,NaT,30ca19ee-5d04-4759-ae4d-0361a20e9bf3,0,,,2022-04-22T06:51:51.210216+00:00,2022-04-22T06:51:51.210216+00:00
7bb871be-2036-4cdd-a024-fc0086784c3b,2022-04-22T08:57:59.659000+00:00,NaT,f53eca58-dc83-4108-b003-8d002b468c13,0,,,2022-04-22T08:57:58.305750+00:00,2022-04-22T08:57:58.305750+00:00
9401e059-778b-4f59-8d58-0f8ccd3ac034,2022-04-22T13:17:19.291000+00:00,NaT,f53eca58-dc83-4108-b003-8d002b468c13,0,,,2022-04-22T13:17:19.502040+00:00,2022-04-22T13:17:19.502040+00:00
5724b701-163d-4769-8d47-98b98ba40e5c,2022-04-22T13:25:04.403000+00:00,NaT,063d9a7f-717e-4573-8e0d-1b7b15dab654,0,,,2022-04-22T13:25:04.604750+00:00,2022-04-22T13:25:04.604750+00:00
96bfd27a-c648-4b8c-b998-6338262bb88c,2022-04-22T13:26:04.632000+00:00,NaT,063d9a7f-717e-4573-8e0d-1b7b15dab654,0,,,2022-04-22T13:26:04.844835+00:00,2022-04-22T13:26:04.844835+00:00
0b2364c7-ee4e-41dd-a3ee-4653d524bca2,2022-04-22T13:28:45.565000+00:00,NaT,063d9a7f-717e-4573-8e0d-1b7b15dab654,0,,,2022-04-22T13:28:45.766970+00:00,2022-04-22T13:28:45.766970+00:00
b7ca5845-814f-4abf-ae36-7a0977d40547,2022-04-22T13:35:19.079000+00:00,NaT,6c80800e-9924-4132-a9d2-42f6aca416b0,0,,,2022-04-22T13:35:19.303385+00:00,2022-04-22T13:35:19.303385+00:00
a462d379-e61e-4372-91a6-430bd46d7b49,2022-04-22T13:38:07.669000+00:00,NaT,6c80800e-9924-4132-a9d2-42f6aca416b0,0,,,2022-04-22T13:38:08.075052+00:00,2022-04-22T13:38:08.075052+00:00
938a6d0e-36fe-4bf9-92fb-b866ea2c145b,2022-04-22T13:41:26.402000+00:00,NaT,6c80800e-9924-4132-a9d2-42f6aca416b0,0,,,2022-04-22T13:41:26.603923+00:00,2022-04-22T13:41:26.603923+00:00
b2e92094-e3c6-4afa-9780-2e0283f55030,2022-04-22T16:39:21.974000+00:00,NaT,6c80800e-9924-4132-a9d2-42f6aca416b0,0,,,2022-04-22T16:39:22.360090+00:00,2022-04-22T16:39:22.360090+00:00
382fb1ab-039c-4172-8834-954aee394dda,2022-04-24T08:07:32.335000+00:00,NaT,9fe0dd11-e560-4ff2-94b7-ec575a9337b0,0,,,2022-04-24T08:07:33.102333+00:00,2022-04-24T08:07:33.102333+00:00
a444814e-ec38-4a33-8c75-50f56da01a9d,2022-04-24T08:15:05.950000+00:00,NaT,4edaf983-b028-4baf-8996-1d003b2342df,0,,,2022-04-24T08:15:06.012066+00:00,2022-04-24T08:15:06.012066+00:00
73917222-6a0a-4aae-b38f-86b068202efb,2022-04-25T06:57:10.670000+00:00,NaT,188d4eb3-3f9f-4b35-ba4f-9ec8c90b55b8,0,,,2022-04-25T06:57:11.486399+00:00,2022-04-25T06:57:11.486399+00:00
c1d9a429-fd3c-418e-9736-6620cd716499,2022-04-25T07:51:32.266000+00:00,2022-04-25T08:00:03.867000+00:00,9913fc63-6f53-44ee-91bb-75faa822f1aa,0,510725.0,9516.0,2022-04-25T07:51:32.314781+00:00,2022-04-25T08:00:03.913300+00:00
8d486572-f8e4-458c-ad32-cd6466b34863,2022-04-25T10:40:59.014000+00:00,NaT,9913fc63-6f53-44ee-91bb-75faa822f1aa,0,,,2022-04-25T10:40:59.060889+00:00,2022-04-25T10:40:59.060889+00:00
8492503c-cda4-4da7-bf33-0a28348e7733,2022-04-25T10:48:08.851000+00:00,NaT,d22743da-16c2-400b-bed9-0d48fe0247ac,0,,,2022-04-25T10:48:08.901869+00:00,2022-04-25T10:48:08.901869+00:00
e5ad8144-1dee-4bce-9cb2-742c9663b561,2022-04-25T13:18:09.446000+00:00,2022-04-25T13:27:57.788000+00:00,e0fce177-f4b2-4bda-a4e5-ebcb5f6b2dbe,0,144960.0,0.0,2022-04-25T13:18:09.601127+00:00,2022-04-25T13:27:57.873526+00:00
aa0af836-7587-404e-b6f2-1a722b0d4f96,2022-04-25T13:37:19.523000+00:00,NaT,e7e82765-3e18-45ed-ade0-4eaa0b272d23,0,,,2022-04-25T13:37:16.891318+00:00,2022-04-25T13:37:16.891318+00:00
eb4a8079-2e34-4284-9260-f6aa7b81db78,2022-04-25T13:37:29.507000+00:00,NaT,e7e82765-3e18-45ed-ade0-4eaa0b272d23,0,,,2022-04-25T13:37:26.885422+00:00,2022-04-25T13:37:26.885422+00:00
2eb4bd7e-2113-4239-9d90-15687421a500,2022-04-25T13:38:57.654000+00:00,NaT,e0fce177-f4b2-4bda-a4e5-ebcb5f6b2dbe,0,,,2022-04-25T13:38:57.757555+00:00,2022-04-25T13:38:57.757555+00:00
6400873e-62d0-4e50-914b-6a9373ca74d9,2022-04-25T13:40:00.625000+00:00,NaT,e0fce177-f4b2-4bda-a4e5-ebcb5f6b2dbe,0,,,2022-04-25T13:40:00.702676+00:00,2022-04-25T13:40:00.702676+00:00
8fcb9d7c-8416-4b6f-9b95-0076c961f5a2,2022-04-25T13:40:10.407000+00:00,NaT,f8edca80-c8db-48e8-bfbd-198385c709c9,0,,,2022-04-25T13:40:10.547799+00:00,2022-04-25T13:40:10.547799+00:00
b305ab1e-0dd9-4ec2-910a-8cba2a06b4ab,2022-04-25T13:55:40.173000+00:00,NaT,a0705f92-c015-4a96-80fd-7a4188a9d229,0,,,2022-04-25T13:55:41.682373+00:00,2022-04-25T13:55:41.682373+00:00
bb85ff2d-2df9-4734-8512-540a331ba093,2022-04-25T14:00:46.170000+00:00,2022-04-25T14:03:19.325000+00:00,ca84569e-75f5-436d-a3c3-7cbea93a8aba,0,152595.0,1.0,2022-04-25T14:00:46.364873+00:00,2022-04-25T14:03:19.431597+00:00
2621d36b-04da-49e5-a3c1-ca2df9d2a143,2022-04-25T14:02:30.103000+00:00,2022-04-25T14:10:07.325000+00:00,e0fce177-f4b2-4bda-a4e5-ebcb5f6b2dbe,0,134287.0,0.0,2022-04-25T14:02:30.176434+00:00,2022-04-25T14:10:07.523990+00:00
