id,page_id,word_id,ocr_transcript,ocr_confidence,created_at,updated_at
7a302b67-799a-466a-8e06-a8e9679a486b,ARBEI_19190109_001,47,des,0.74,2022-04-19T17:35:46.297234+00:00,2022-06-21T15:14:05.419795+00:00
c58b37dd-caed-484d-8803-a71540af42ff,ARBEI_19190109_001,791,stisch,0.64166665,2022-04-19T17:41:36.054414+00:00,2022-06-21T15:14:05.419795+00:00
e854ac8d-c53a-4c01-bead-c34608ac0910,ARBEI_19190109_001,792,genug.,0.67333335,2022-04-19T17:41:36.494038+00:00,2022-06-21T15:14:05.419795+00:00
8b848351-14b0-4873-87ee-6dbd3cd18446,ARBEI_19190109_001,793,Aber,0.59,2022-04-19T17:41:36.942323+00:00,2022-06-21T15:14:05.419795+00:00
a9cf33a6-c00a-473a-9449-50646e038f7a,ARBEI_19190109_001,794,Liebknecht,0.738,2022-04-19T17:41:37.566224+00:00,2022-06-21T15:14:05.419795+00:00
bd3730aa-ca41-4a75-ae34-ca587a8bd550,ARBEI_19190109_001,795,und,0.32666665,2022-04-19T17:41:38.016764+00:00,2022-06-21T15:14:05.419795+00:00
f4209cec-b236-4c19-9ce5-5cb613cf8375,ARBEI_19190109_001,796,seine,0.674,2022-04-19T17:41:38.486560+00:00,2022-06-21T15:14:05.419795+00:00
d9b726b0-31cb-486a-a2c0-3cc9a50ab661,ARBEI_19190109_001,797,An,0.775,2022-04-19T17:41:38.921134+00:00,2022-06-21T15:14:05.419795+00:00
235a6d9d-9f1b-4ead-8af8-1f9b6669ba8f,ARBEI_19190109_001,798,hänger,0.87333333,2022-04-19T17:41:39.348334+00:00,2022-06-21T15:14:05.419795+00:00
f254db9c-c9c2-4909-a2dc-9cbf1b8822a2,ARBEI_19190109_001,799,wollen,0.7783333,2022-04-19T17:41:39.798288+00:00,2022-06-21T15:14:05.419795+00:00
f18192df-4fb6-4505-a574-75a41d1e0ce1,ARBEI_19190109_001,1293,Arbeiter,0.6675,2022-04-19T17:45:33.039488+00:00,2022-06-21T15:14:05.419795+00:00
0f024efa-7995-4ad6-8b5d-981466c203f4,ARBEI_19190109_001,1294,in,0.295,2022-04-19T17:45:33.565782+00:00,2022-06-21T15:14:05.419795+00:00
8527462a-b8c3-456d-9bd1-e03b01d0700f,ARBEI_19190109_001,1295,vollstem,0.6,2022-04-19T17:45:34.015221+00:00,2022-06-21T15:14:05.419795+00:00
4703fa40-1f1d-454e-bd78-18fcac2bedac,ARBEI_19190109_001,1296,Ver,0.38,2022-04-19T17:45:34.469464+00:00,2022-06-21T15:14:05.419795+00:00
1f373f79-b376-4e85-af31-4eeafd2be36c,ARBEI_19190109_001,1297,ständnis,0.67625,2022-04-19T17:45:35.001797+00:00,2022-06-21T15:14:05.419795+00:00
cfeb6d08-0f98-4dd5-a7e7-260daf202ad5,ARBEI_19190109_001,1298,Mitwirken.,0.854,2022-04-19T17:45:35.463979+00:00,2022-06-21T15:14:05.419795+00:00
908cbb56-fcf8-4592-935b-e48f3241ddcd,ARBEI_19190109_001,1299,Kleine,0.41333333,2022-04-19T17:45:35.929234+00:00,2022-06-21T15:14:05.419795+00:00
0e765170-51ab-4466-925e-0635eb4e8b6f,ARBEI_19190109_001,1300,Nachrichten.,0.50166667,2022-04-19T17:45:36.398168+00:00,2022-06-21T15:14:05.419795+00:00
93e6e382-2270-4339-b42c-fc7786eb1e87,ARBEI_19190109_001,1301,Der,0.31333333,2022-04-19T17:45:36.868942+00:00,2022-06-21T15:14:05.419795+00:00
66d76ac3-dd8d-4eed-a48a-cfd846f36042,ARBEI_19190109_001,1355,Als,0.78333336,2022-04-19T17:46:02.659657+00:00,2022-06-21T15:14:05.419795+00:00
d75c2d0b-0d87-43ac-a698-003419a0d546,ARBEI_19190109_001,1356,W,0.79,2022-04-19T17:46:03.121050+00:00,2022-06-21T15:14:05.419795+00:00
a9020a8c-5a33-4c14-bd00-af0c3f445068,ARBEI_19190109_001,1357,a,0.28,2022-04-19T17:46:03.576072+00:00,2022-06-21T15:14:05.419795+00:00
ccaa7cc6-dcc6-4f56-a4c8-9165c2ca84b3,ARBEI_19190109_001,1358,h,0.68,2022-04-19T17:46:04.002132+00:00,2022-06-21T15:14:05.419795+00:00
7a66a8a8-1242-47e6-8df4-cc879f3f51d7,ARBEI_19190109_001,1359,l,0.48,2022-04-19T17:46:04.443962+00:00,2022-06-21T15:14:05.419795+00:00
